Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,13.440000,13.470000,13.170000,13.180000,12.151883,2992862
2019-04-02,13.090000,13.260000,13.090000,13.160000,12.133444,4860620
2019-04-03,13.220000,13.385000,13.200000,13.320000,12.280963,2870571
2019-04-04,13.250000,13.330000,13.000000,13.090000,12.068904,3315551
2019-04-05,12.990000,12.990000,12.840000,12.870000,11.866065,3265408
2019-04-08,12.870000,13.070000,12.870000,13.020000,12.004364,2605471
2019-04-09,13.060000,13.060000,12.950000,12.980000,11.967483,1841393
2019-04-10,13.080000,13.200000,12.970000,13.180000,12.151883,4075861
2019-04-11,13.100000,13.190000,13.075000,13.150000,12.124225,3830632
2019-04-12,13.290000,13.290000,13.115000,13.120000,12.096564,2477186
2019-04-15,13.040000,13.100000,12.970000,13.040000,12.022804,3408910
2019-04-16,13.000000,13.040000,12.830000,12.900000,11.893724,4672351
2019-04-17,12.900000,12.910000,12.730000,12.750000,11.755426,3790772
2019-04-18,12.800000,12.810000,12.675000,12.710000,11.718548,2007928
2019-04-23,12.730000,12.900000,12.680000,12.900000,11.893724,4032837
2019-04-24,13.060000,13.290000,13.020000,13.240000,12.207203,4442587
2019-04-26,13.410000,13.610000,13.340000,13.600000,12.539120,4126268
2019-04-29,13.600000,13.620000,13.250000,13.340000,12.299401,3824629
2019-04-30,13.200000,13.285000,13.070000,13.160000,12.133444,4498835
2019-05-01,13.310000,13.310000,13.185000,13.220000,12.188764,2791913
2019-05-02,13.250000,13.250000,13.100000,13.180000,12.151883,3086416
2019-05-03,13.290000,13.300000,13.100000,13.150000,12.124225,2699818
2019-05-06,13.120000,13.230000,13.070000,13.170000,12.142664,2365618
2019-05-07,13.250000,13.280000,13.030000,13.060000,12.041245,2795194
2019-05-08,12.850000,13.040000,12.850000,13.040000,12.022804,2623947
2019-05-09,13.040000,13.110000,12.980000,13.110000,12.087343,8514122
2019-05-10,13.140000,13.280000,13.115000,13.170000,12.142664,3431115
2019-05-13,13.230000,13.410000,13.200000,13.360000,12.317842,3093481
2019-05-14,13.370000,13.470000,13.320000,13.350000,12.308622,2563832
2019-05-15,13.430000,13.455000,13.170000,13.320000,12.280963,3882103
2019-05-16,13.430000,13.560000,13.320000,13.560000,12.502242,7344419
2019-05-17,13.700000,13.840000,13.655000,13.710000,12.640540,3633892
2019-05-20,13.660000,13.710000,13.510000,13.580000,12.520681,2209233
2019-05-21,13.420000,13.825000,13.350000,13.820000,12.741960,4227413
2019-05-22,13.780000,13.830000,13.605000,13.710000,12.640540,2986107
2019-05-23,13.770000,13.880000,13.750000,13.840000,12.760399,2747386
2019-05-24,13.930000,13.990000,13.740000,13.850000,12.769621,2392057
2019-05-27,13.820000,13.890000,13.730000,13.780000,12.705080,1986227
2019-05-28,13.840000,13.850000,13.700000,13.700000,12.631321,5438588
2019-05-29,13.640000,13.640000,13.470000,13.500000,12.446921,2635540
2019-05-30,13.400000,13.470000,13.260000,13.280000,12.244082,3412201
2019-05-31,13.280000,13.480000,13.280000,13.400000,12.354723,3639744
2019-06-03,13.520000,13.770000,13.430000,13.590000,12.529901,4202800
2019-06-04,13.700000,13.740000,13.560000,13.670000,12.603660,3167477
2019-06-05,13.620000,13.700000,13.515000,13.550000,12.493022,2778811
2019-06-06,13.700000,14.030000,13.670000,14.000000,12.907918,3975760
2019-06-07,14.120000,14.290000,13.980000,14.290000,13.175297,3535635
2019-06-11,14.260000,14.480000,14.220000,14.430000,13.304378,4502717
2019-06-12,14.400000,14.520000,14.360000,14.400000,13.276717,2761985
2019-06-13,14.530000,14.660000,14.430000,14.590000,13.451895,2973733
2019-06-14,14.670000,14.745000,14.570000,14.650000,13.507214,3067283
2019-06-17,14.830000,14.850000,14.570000,14.570000,13.433455,2454476
2019-06-18,14.650000,14.850000,14.450000,14.830000,13.673174,4924724
2019-06-19,14.930000,14.930000,14.665000,14.860000,13.700834,4083318
2019-06-20,14.870000,15.020000,14.830000,15.010000,13.839132,5974499
2019-06-21,15.030000,15.110000,14.870000,15.080000,13.903673,8811948
2019-06-24,15.040000,15.310000,15.005000,15.310000,14.115731,5967721
2019-06-25,15.220000,15.545000,15.120000,15.500000,14.290910,6325592
2019-06-26,15.450000,15.500000,15.360000,15.380000,14.180271,5015204
2019-06-27,15.210000,15.420000,15.030000,15.250000,14.198892,8668497
2019-06-28,15.270000,15.270000,15.030000,15.030000,13.994055,5745138
2019-07-01,15.110000,15.560000,15.050000,15.220000,14.170961,2877523
2019-07-02,15.250000,15.300000,15.100000,15.160000,14.115097,4492695
2019-07-03,15.460000,15.720000,15.330000,15.630000,14.552702,3817410
2019-07-04,15.750000,15.810000,15.610000,15.730000,14.645807,4243282
2019-07-05,15.870000,16.100000,15.810000,16.070000,14.962373,3862697
2019-07-08,15.950000,15.950000,15.440000,15.460000,14.394418,3080410
2019-07-09,15.430000,15.630000,15.310000,15.530000,14.459593,4102719
2019-07-10,15.660000,15.760000,15.410000,15.470000,14.403729,3310948
2019-07-11,15.590000,15.800000,15.470000,15.510000,14.440971,3410437
2019-07-12,15.350000,15.450000,15.305000,15.360000,14.301310,3693819
2019-07-15,15.360000,15.460000,15.180000,15.220000,14.170961,2749096
2019-07-16,15.200000,15.400000,15.190000,15.280000,14.226824,4079734
2019-07-17,15.320000,15.360000,15.060000,15.120000,14.077853,3551603
2019-07-18,15.170000,15.290000,15.070000,15.140000,14.096475,3903231
2019-07-19,15.040000,15.260000,14.950000,15.170000,14.124405,3221814
2019-07-22,15.080000,15.100000,14.865000,14.950000,13.919570,3125148
2019-07-23,14.950000,15.170000,14.910000,15.170000,14.124405,4189757
2019-07-24,15.300000,15.345000,15.120000,15.260000,14.208204,4414244
2019-07-25,15.200000,15.230000,14.970000,15.050000,14.012677,6696071
2019-07-26,15.040000,15.130000,14.960000,15.080000,14.040609,3851619
2019-07-29,15.080000,15.120000,14.750000,14.850000,13.826462,7112706
2019-07-30,14.930000,15.050000,14.760000,14.880000,13.854393,7551745
2019-07-31,14.940000,15.010000,14.810000,14.810000,13.789220,4984889
2019-08-01,14.760000,14.875000,14.620000,14.860000,13.835773,3566034
2019-08-02,15.090000,15.390000,15.040000,15.310000,14.254757,2891010
2019-08-05,15.280000,15.330000,15.000000,15.010000,13.975434,1254626
2019-08-06,14.500000,14.650000,14.160000,14.360000,13.370234,6724982
2019-08-07,14.370000,14.770000,14.340000,14.710000,13.696113,3585705
2019-08-08,14.500000,14.910000,14.450000,14.910000,13.882327,4263358
2019-08-09,14.830000,14.920000,14.595000,14.910000,13.882327,2656275
2019-08-12,14.950000,15.090000,14.870000,15.090000,14.049920,2242641
2019-08-13,15.110000,15.160000,14.920000,15.000000,13.966124,3848590
2019-08-14,14.990000,15.035000,14.690000,14.870000,13.845083,3694130
2019-08-15,14.980000,14.980000,14.540000,14.590000,13.584382,5564015
2019-08-16,14.530000,14.750000,14.500000,14.590000,13.584382,3406514
2019-08-19,14.840000,14.980000,14.670000,14.780000,13.761287,2985811
2019-08-20,14.840000,15.040000,14.710000,15.020000,13.984744,4257612
2019-08-21,15.010000,15.080000,14.790000,15.060000,14.021990,4654704
2019-08-22,15.220000,15.220000,14.840000,14.850000,13.826462,2191184
2019-08-23,15.510000,15.750000,15.370000,15.500000,14.431660,5893295
2019-08-26,15.450000,15.500000,15.200000,15.300000,14.245447,3900168
2019-08-27,15.330000,15.380000,14.760000,14.790000,13.770597,5799383
2019-08-28,14.880000,14.980000,14.580000,14.670000,13.658868,5818388
2019-08-29,14.560000,14.640000,14.460000,14.490000,13.491276,5326178
2019-08-30,14.520000,14.580000,14.420000,14.520000,13.519207,7363770
2019-09-02,14.450000,14.520000,14.180000,14.260000,13.277129,5065828
2019-09-03,14.300000,14.380000,14.130000,14.180000,13.202641,4695721
2019-09-04,14.200000,14.280000,14.025000,14.210000,13.230576,10478547
2019-09-05,14.250000,14.260000,13.860000,14.000000,13.035048,9515975
2019-09-06,13.940000,13.940000,13.640000,13.680000,12.737105,8679281
2019-09-09,13.660000,13.915000,13.630000,13.850000,12.895389,7289254
2019-09-10,13.720000,13.770000,13.560000,13.680000,12.737105,7228910
2019-09-11,13.630000,13.660000,13.285000,13.440000,12.513646,9776441
2019-09-12,13.700000,13.840000,13.620000,13.740000,12.792969,10024158
2019-09-13,13.840000,13.900000,13.565000,13.680000,12.737105,11909488
2019-09-16,13.670000,13.680000,13.370000,13.550000,12.616065,10229271
2019-09-17,13.570000,13.840000,13.520000,13.800000,12.848832,12376580
2019-09-18,14.060000,14.060000,13.780000,13.900000,12.941941,13399896
2019-09-19,14.050000,14.115000,13.890000,13.890000,12.932631,13464537
2019-09-20,14.020000,14.390000,13.830000,13.830000,12.876765,89466545
2019-09-23,13.980000,14.240000,13.900000,14.120000,13.146777,8888124
2019-09-24,14.120000,14.270000,14.100000,14.240000,13.258507,8904723
2019-09-25,14.200000,14.405000,14.180000,14.340000,13.351614,7696707
2019-09-26,14.220000,14.330000,14.065000,14.190000,13.211951,6691983
2019-09-27,14.250000,14.350000,14.050000,14.050000,13.081604,6640192
2019-09-30,14.150000,14.345000,14.090000,14.180000,13.202641,6576065
2019-10-01,14.350000,14.470000,14.245000,14.460000,13.463344,6999677
2019-10-02,14.490000,14.490000,14.300000,14.340000,13.351614,6611950
2019-10-03,14.010000,14.170000,13.960000,14.070000,13.100224,5394499
2019-10-04,14.120000,14.290000,14.000000,14.220000,13.239886,5276569
2019-10-07,14.390000,14.445000,14.190000,14.350000,13.360925,3062133
2019-10-08,14.390000,14.395000,14.240000,14.300000,13.314372,4003849
2019-10-09,14.300000,14.390000,14.220000,14.340000,13.351614,3531674
2019-10-10,14.200000,14.360000,14.140000,14.200000,13.221265,3858795
2019-10-11,14.230000,14.260000,14.060000,14.180000,13.202641,5131518
2019-10-14,14.190000,14.240000,14.030000,14.060000,13.090914,4442652
2019-10-15,14.010000,14.315000,14.010000,14.250000,13.267818,3985390
2019-10-16,14.450000,14.500000,14.335000,14.500000,13.500586,4086872
2019-10-17,14.490000,14.530000,14.290000,14.320000,13.332992,6127901
2019-10-18,14.310000,14.430000,14.240000,14.260000,13.277129,5740559
2019-10-21,14.170000,14.405000,14.145000,14.280000,13.295749,4971465
2019-10-22,14.280000,14.390000,14.220000,14.340000,13.351614,3534811
2019-10-23,14.340000,14.360000,14.200000,14.220000,13.239886,4266811
2019-10-24,14.240000,14.240000,14.080000,14.130000,13.156089,3405442
2019-10-25,14.250000,14.400000,14.230000,14.320000,13.332992,2996391
2019-10-28,14.370000,14.410000,14.180000,14.200000,13.221265,3921855
2019-10-29,14.190000,14.315000,14.130000,14.260000,13.277129,3766917
2019-10-30,14.310000,14.400000,14.210000,14.260000,13.277129,3293787
2019-10-31,14.380000,14.470000,14.300000,14.390000,13.398168,4870269
2019-11-01,14.400000,14.505000,14.320000,14.370000,13.379548,4826665
2019-11-04,14.510000,14.510000,14.230000,14.310000,13.323684,3257242
2019-11-05,14.410000,14.410000,14.190000,14.250000,13.267818,3356738
2019-11-06,14.250000,14.290000,14.100000,14.150000,13.174709,4539613
2019-11-07,14.160000,14.470000,14.150000,14.420000,13.426101,3895936
2019-11-08,14.280000,14.440000,14.090000,14.180000,13.202641,6607305
2019-11-11,14.300000,14.440000,14.230000,14.430000,13.435411,6100065
2019-11-12,14.650000,14.690000,14.210000,14.240000,13.258507,7360740
2019-11-13,14.340000,14.410000,14.220000,14.310000,13.323684,5838230
2019-11-14,14.330000,14.520000,14.270000,14.480000,13.481964,5938842
2019-11-15,14.650000,14.750000,14.590000,14.640000,13.630937,3403663
2019-11-18,14.710000,14.730000,14.400000,14.550000,13.547141,3328438
2019-11-19,14.650000,14.800000,14.530000,14.800000,13.779909,4225911
2019-11-20,14.640000,14.680000,14.410000,14.440000,13.444720,5120366
2019-11-21,14.300000,14.420000,14.270000,14.350000,13.360925,3852963
2019-11-22,14.450000,14.450000,14.210000,14.270000,13.286440,3860799
2019-11-25,14.460000,14.470000,14.300000,14.340000,13.351614,2588038
2019-11-26,14.450000,14.550000,14.305000,14.450000,13.454033,7445672
2019-11-27,14.580000,14.750000,14.500000,14.750000,13.733356,3120293
2019-11-28,14.990000,14.990000,14.680000,14.740000,13.724045,3674236
2019-11-29,14.940000,14.940000,14.810000,14.820000,13.798530,2753480
2019-12-02,14.870000,14.950000,14.770000,14.850000,13.826462,4070143
2019-12-03,14.690000,14.690000,14.350000,14.390000,13.398168,4687207
2019-12-04,14.210000,14.290000,14.155000,14.240000,13.258507,4675866
2019-12-05,14.360000,14.480000,14.300000,14.410000,13.416790,5021182
2019-12-06,14.380000,14.500000,14.370000,14.440000,13.444720,2285886
2019-12-09,14.540000,14.570000,14.455000,14.500000,13.500586,3948905
2019-12-10,14.420000,14.510000,14.260000,14.280000,13.295749,4448612
2019-12-11,14.220000,14.280000,14.120000,14.240000,13.258507,6586090
2019-12-12,14.200000,14.230000,14.050000,14.070000,13.100224,5638092
2019-12-13,13.970000,13.990000,13.660000,13.670000,12.727793,5576682
2019-12-16,13.770000,13.960000,13.730000,13.880000,12.923319,5196707
2019-12-17,13.950000,14.100000,13.905000,13.940000,12.979183,6936958
2019-12-18,13.850000,13.950000,13.830000,13.840000,12.886076,5453279
2019-12-19,13.890000,13.965000,13.790000,13.890000,12.932631,7060679
2019-12-20,13.820000,13.930000,13.730000,13.730000,12.783659,6442736
2019-12-23,13.480000,13.800000,13.480000,13.660000,12.718483,3894089
2019-12-24,13.620000,13.775000,13.620000,13.710000,12.765038,1077312
2019-12-27,13.670000,13.770000,13.660000,13.740000,12.792969,2167002
2019-12-30,13.650000,13.750000,13.600000,13.650000,12.849450,2940569
2019-12-31,13.470000,13.550000,13.310000,13.370000,12.585872,2636657
2020-01-02,13.340000,13.470000,13.340000,13.440000,12.651766,1556224
2020-01-03,13.660000,13.660000,13.455000,13.500000,12.708248,1717762
2020-01-06,13.520000,13.580000,13.390000,13.580000,12.783556,2513300
2020-01-07,13.760000,13.905000,13.530000,13.850000,13.037722,3540576
2020-01-08,13.880000,13.900000,13.740000,13.850000,13.037722,3588789
2020-01-09,13.980000,14.055000,13.920000,14.040000,13.216577,3877307
2020-01-10,14.110000,14.200000,13.985000,14.030000,13.207163,3374339
2020-01-13,13.920000,14.080000,13.890000,14.080000,13.254231,2224264
2020-01-14,14.190000,14.200000,14.100000,14.170000,13.338953,3881093
2020-01-15,14.250000,14.300000,14.170000,14.270000,13.433088,3630342
2020-01-16,14.350000,14.470000,14.270000,14.460000,13.611945,3647086
2020-01-17,14.600000,14.720000,14.560000,14.650000,13.790800,3131579
2020-01-20,14.700000,14.735000,14.640000,14.670000,13.809628,2205860
2020-01-21,14.680000,14.770000,14.580000,14.760000,13.894349,4927082
2020-01-22,14.990000,14.990000,14.820000,14.890000,14.016727,3167980
2020-01-23,14.950000,14.990000,14.850000,14.980000,14.101447,2936849
2020-01-24,15.080000,15.130000,15.020000,15.020000,14.139101,2987568
2020-01-28,14.850000,14.990000,14.810000,14.950000,14.073207,3469331
2020-01-29,14.930000,15.010000,14.870000,15.000000,14.120275,2531553
2020-01-30,15.040000,15.090000,14.930000,14.950000,14.073207,4298133
2020-01-31,15.000000,15.020000,14.830000,14.890000,14.016727,5382075
2020-02-03,14.830000,14.980000,14.795000,14.940000,14.063793,3866911
2020-02-04,14.960000,15.085000,14.880000,15.000000,14.120275,4793965
2020-02-05,15.200000,15.320000,15.180000,15.210000,14.317958,4092632
2020-02-06,15.250000,15.320000,15.110000,15.300000,14.402681,4062175
2020-02-07,15.320000,15.330000,15.130000,15.240000,14.346199,4862852
2020-02-10,15.300000,15.320000,15.135000,15.210000,14.317958,2842643
2020-02-11,15.420000,15.450000,15.210000,15.280000,14.383853,4388842
2020-02-12,15.390000,15.570000,15.240000,15.400000,14.496815,6435597
2020-02-13,16.600000,16.600000,15.880000,16.299999,15.344031,10925830
2020-02-14,16.590000,16.780001,16.410000,16.440001,15.475821,6318389
2020-02-17,16.459999,16.600000,16.340000,16.559999,15.588781,2782523
2020-02-18,16.549999,16.629999,16.445000,16.559999,15.588781,2709233
2020-02-19,16.610001,16.680000,16.559999,16.620001,15.645267,3261919
2020-02-20,16.690001,16.690001,16.434999,16.469999,15.504061,5084507
2020-02-21,16.549999,16.639999,16.264999,16.389999,15.428754,3613246
2020-02-24,16.020000,16.219999,16.020000,16.070000,15.127521,3751217
2020-02-25,15.790000,15.840000,15.640000,15.810000,14.882770,5369161
2020-02-26,15.520000,15.600000,15.230000,15.360000,14.459160,4546403
2020-02-27,15.200000,15.615000,15.200000,15.550000,14.638018,8685601
2020-02-28,14.990000,15.150000,14.850000,14.980000,14.101447,9575457
2020-03-02,14.460000,15.030000,14.430000,14.910000,14.035553,5463823
2020-03-03,15.220000,15.620000,15.070000,15.470000,14.562711,6349828
