Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,34.799999,34.939999,34.404999,34.480000,28.397449,1842961
2019-04-02,34.500000,34.639999,34.299999,34.480000,28.397449,1958138
2019-04-03,34.669998,35.029999,34.450001,34.919998,28.759834,1587381
2019-04-04,35.000000,35.049999,34.580002,34.689999,28.570400,1768854
2019-04-05,34.509998,34.740002,34.130001,34.209999,28.175081,1573011
2019-04-08,34.220001,34.599998,34.220001,34.430000,28.356272,1392800
2019-04-09,34.369999,34.400002,34.049999,34.139999,28.117428,1905689
2019-04-10,34.130001,34.330002,34.099998,34.259998,28.216261,1733085
2019-04-11,34.029999,34.450001,34.029999,34.290001,28.240976,1641971
2019-04-12,34.500000,34.790001,34.470001,34.730000,28.603348,1809435
2019-04-15,34.490002,34.700001,34.299999,34.439999,28.364508,1147567
2019-04-16,34.380001,34.924999,34.380001,34.860001,28.710417,1844391
2019-04-17,34.779999,34.970001,34.529999,34.740002,28.611586,1452052
2019-04-18,35.090000,35.134998,34.889999,34.990002,28.817488,2529332
2019-04-23,35.090000,35.669998,35.070000,35.610001,29.328108,2988985
2019-04-24,35.919998,36.160000,35.840000,35.990002,29.641081,3582408
2019-04-26,36.150002,36.255001,35.919998,35.990002,29.641081,1681805
2019-04-29,35.990002,36.220001,35.650002,35.799999,29.484594,951315
2019-04-30,35.799999,36.160000,35.705002,36.009998,29.657545,1809768
2019-05-01,35.970001,36.000000,35.549999,35.790001,29.476355,1020541
2019-05-02,35.599998,35.770000,35.349998,35.650002,29.361053,1696536
2019-05-03,36.000000,36.500000,35.900002,36.369999,29.954044,2165288
2019-05-06,36.000000,36.270000,35.619999,35.730000,29.426941,2490653
2019-05-07,35.639999,36.259998,35.630001,36.000000,29.649315,1884268
2019-05-08,35.630001,36.270000,35.610001,36.080002,29.715204,1879988
2019-05-09,36.000000,36.360001,35.919998,36.250000,29.855211,1854330
2019-05-10,36.459999,36.759998,36.310001,36.590000,30.135233,1777082
2019-05-13,36.590000,36.669998,36.250000,36.619999,30.159937,1087132
2019-05-14,36.259998,36.580002,36.230000,36.299999,29.896391,1663091
2019-05-15,36.000000,36.400002,35.955002,36.320000,29.912861,1379305
