Share Name: CBA
Starting Portfolio Value: 1000.00
2019-10-15, Open, 66.57
2019-10-16, Open, 67.51
2019-10-17, Open, 67.24
2019-10-18, Open, 66.84
2019-10-21, Open, 66.97
2019-10-22, Open, 66.86
2019-10-23, Open, 67.10
2019-10-24, Open, 67.39
2019-10-25, Open, 67.73
2019-10-28, Open, 67.55
2019-10-29, Open, 67.53
2019-10-30, Open, 66.89
2019-10-31, Open, 66.02
2019-11-01, Open, 65.67
2019-11-04, Open, 64.67
2019-11-05, Open, 65.22
2019-11-06, Open, 65.47
2019-11-07, Open, 66.34
2019-11-08, Open, 66.45
2019-11-11, Open, 67.19
2019-11-12, Open, 67.84
2019-11-13, Open, 66.51
2019-11-14, Open, 66.95
2019-11-15, Open, 67.72
2019-11-18, Open, 67.43
2019-11-19, Open, 67.71
2019-11-20, Open, 66.81
2019-11-21, Open, 66.58
2019-11-22, Open, 66.81
2019-11-25, Open, 67.05
2019-11-26, Open, 67.77
2019-11-27, Open, 68.56
2019-11-28, Open, 68.49
2019-11-29, Open, 67.83
2019-12-02, Open, 68.35
2019-12-03, Open, 66.59
2019-12-04, Open, 65.31
2019-12-05, Open, 65.99
2019-12-06, Open, 66.30
2019-12-09, Open, 66.52
2019-12-10, Open, 66.50
2019-12-11, Open, 67.41
2019-12-12, Open, 66.91
2019-12-13, Open, 67.20
2019-12-16, Open, 68.37
2019-12-17, Open, 68.74
2019-12-18, Open, 68.74
2019-12-19, Open, 68.60
2019-12-20, Open, 68.19
2019-12-23, Open, 67.85
2019-12-24, Open, 67.74
2019-12-27, Open, 68.04
2019-12-30, Open, 68.07
2019-12-31, Open, 67.06
2020-01-02, Open, 67.05
2020-01-03, Open, 67.41
2020-01-06, Open, 66.95
2020-01-07, Open, 68.15
2020-01-08, Open, 67.90
2020-01-09, Open, 68.40
2020-01-10, Open, 69.24
2020-01-13, Open, 69.23
2020-01-14, Open, 69.81
2020-01-15, Open, 70.22
2020-01-16, Open, 70.89
2020-01-17, Open, 70.55
2020-01-20, Open, 70.44
2020-01-21, Open, 70.07
2020-01-22, Open, 70.88
2020-01-23, Open, 70.94
2020-01-24, Open, 71.29
2020-01-28, Open, 70.52
2020-01-29, Open, 71.02
2020-01-30, Open, 71.71
2020-01-31, Open, 71.56
2020-02-03, Open, 70.96
2020-02-04, Open, 70.76
2020-02-05, Open, 69.90
2020-02-06, Open, 70.70
2020-02-07, Open, 71.17
2020-02-10, Open, 70.77
2020-02-11, Open, 71.11
2020-02-12, Open, 74.01
2020-02-13, Open, 74.47
2020-02-14, Open, 76.37
2020-02-17, Open, 75.09
2020-02-18, Open, 75.76
2020-02-19, Open, 75.39
2020-02-20, Open, 75.41
2020-02-21, Open, 76.22
2020-02-24, Open, 75.53
2020-02-25, Open, 74.50
2020-02-26, Open, 73.26
2020-02-27, Open, 72.47
2020-02-28, Open, 70.20
2020-03-02, Open, 69.07
2020-03-03, Open, 67.90
2020-03-04, Open, 66.19
2020-03-05, Open, 65.88
2020-03-06, Open, 63.46
2020-03-09, Open, 59.35
2020-03-10, Open, 62.98
2020-03-11, Open, 58.80
2020-03-12, Open, 54.17
2020-03-13, Open, 56.96
2020-03-16, Open, 51.26
2020-03-17, Open, 58.06
2020-03-18, Open, 54.89
2020-03-19, Open, 52.32
2020-03-20, Open, 51.42
2020-03-23, Open, 46.57
2020-03-24, Open, 48.93
2020-03-25, Open, 53.56
2020-03-26, Open, 53.05
2020-03-27, Open, 49.49
2020-03-30, Open, 54.89
2020-03-31, BUY EXECUTED, Size: 18, Price: 55.45, Cost: 998.10, Comm 0.00
2020-03-31, Open, 53.06
2020-04-01, Order Canceled/Margin/Rejected
2020-04-01, Open, 54.65
2020-04-02, Order Canceled/Margin/Rejected
2020-04-02, Open, 52.56
2020-04-03, Order Canceled/Margin/Rejected
2020-04-03, Open, 51.59
2020-04-06, Order Canceled/Margin/Rejected
2020-04-06, Open, 53.62
2020-04-07, Order Canceled/Margin/Rejected
2020-04-07, Open, 53.11
2020-04-08, Order Canceled/Margin/Rejected
2020-04-08, Open, 51.34
2020-04-09, Order Canceled/Margin/Rejected
2020-04-09, Open, 53.01
2020-04-14, Order Canceled/Margin/Rejected
2020-04-14, Open, 53.86
2020-04-15, Order Canceled/Margin/Rejected
2020-04-15, Open, 53.28
2020-04-16, Order Canceled/Margin/Rejected
2020-04-16, Open, 52.58
2020-04-17, Order Canceled/Margin/Rejected
2020-04-17, Open, 52.41
2020-04-20, Order Canceled/Margin/Rejected
2020-04-20, Open, 51.40
2020-04-21, Order Canceled/Margin/Rejected
2020-04-21, Open, 50.32
2020-04-22, Order Canceled/Margin/Rejected
2020-04-22, Open, 50.86
2020-04-23, Order Canceled/Margin/Rejected
2020-04-23, Open, 50.50
2020-04-24, Order Canceled/Margin/Rejected
2020-04-24, Open, 50.54
2020-04-27, Order Canceled/Margin/Rejected
2020-04-27, Open, 50.54
2020-04-28, Order Canceled/Margin/Rejected
2020-04-28, Open, 50.31
2020-04-29, Order Canceled/Margin/Rejected
2020-04-29, Open, 52.42
2020-04-30, Order Canceled/Margin/Rejected
2020-04-30, Open, 53.81
2020-05-01, Order Canceled/Margin/Rejected
2020-05-01, Open, 50.50
2020-05-04, Order Canceled/Margin/Rejected
2020-05-04, Open, 51.40
2020-05-05, Order Canceled/Margin/Rejected
2020-05-05, Open, 52.23
2020-05-06, Order Canceled/Margin/Rejected
2020-05-06, Open, 51.80
2020-05-07, Order Canceled/Margin/Rejected
2020-05-07, Open, 50.87
2020-05-08, Order Canceled/Margin/Rejected
2020-05-08, Open, 51.16
2020-05-11, Order Canceled/Margin/Rejected
2020-05-11, Open, 51.62
2020-05-12, Order Canceled/Margin/Rejected
2020-05-12, Open, 51.25
2020-05-13, Order Canceled/Margin/Rejected
2020-05-13, Open, 52.23
2020-05-14, Order Canceled/Margin/Rejected
2020-05-14, Open, 50.56
2020-05-15, Order Canceled/Margin/Rejected
2020-05-15, Open, 51.16
2020-05-18, Order Canceled/Margin/Rejected
2020-05-18, Open, 50.56
2020-05-19, Order Canceled/Margin/Rejected
2020-05-19, Open, 51.20
2020-05-20, Order Canceled/Margin/Rejected
2020-05-20, Open, 51.56
2020-05-21, Order Canceled/Margin/Rejected
2020-05-21, Open, 50.69
2020-05-22, Order Canceled/Margin/Rejected
2020-05-22, Open, 50.38
2020-05-25, Order Canceled/Margin/Rejected
2020-05-25, Open, 50.63
2020-05-26, Order Canceled/Margin/Rejected
2020-05-26, Open, 52.62
2020-05-27, Order Canceled/Margin/Rejected
2020-05-27, Open, 55.19
2020-05-28, Order Canceled/Margin/Rejected
2020-05-28, Open, 56.42
2020-05-29, Order Canceled/Margin/Rejected
2020-05-29, Open, 54.72
2020-06-01, Order Canceled/Margin/Rejected
2020-06-01, Open, 54.85
2020-06-02, Order Canceled/Margin/Rejected
2020-06-02, Open, 54.96
2020-06-03, Order Canceled/Margin/Rejected
2020-06-03, Open, 56.75
2020-06-04, Order Canceled/Margin/Rejected
2020-06-04, Open, 58.08
2020-06-05, Order Canceled/Margin/Rejected
2020-06-05, Open, 58.99
2020-06-09, Order Canceled/Margin/Rejected
2020-06-09, Open, 61.97
2020-06-10, Order Canceled/Margin/Rejected
2020-06-10, Open, 61.46
2020-06-11, Order Canceled/Margin/Rejected
2020-06-11, Open, 58.74
2020-06-12, Order Canceled/Margin/Rejected
2020-06-12, Open, 57.78
2020-06-15, Order Canceled/Margin/Rejected
2020-06-15, Open, 56.91
2020-06-16, Order Canceled/Margin/Rejected
2020-06-16, Open, 59.30
2020-06-17, Order Canceled/Margin/Rejected
2020-06-17, Open, 59.73
2020-06-18, Order Canceled/Margin/Rejected
2020-06-18, Open, 59.23
2020-06-19, Order Canceled/Margin/Rejected
2020-06-19, Open, 58.95
2020-06-22, Order Canceled/Margin/Rejected
2020-06-22, Open, 59.60
2020-06-23, Order Canceled/Margin/Rejected
2020-06-23, Open, 59.25
2020-06-24, Order Canceled/Margin/Rejected
2020-06-24, Open, 59.43
2020-06-25, Order Canceled/Margin/Rejected
2020-06-25, Open, 58.07
2020-06-26, Order Canceled/Margin/Rejected
2020-06-26, Open, 59.46
2020-06-29, Order Canceled/Margin/Rejected
2020-06-29, Open, 58.87
2020-06-30, Order Canceled/Margin/Rejected
2020-06-30, Open, 59.59
2020-07-01, Order Canceled/Margin/Rejected
2020-07-01, Open, 59.98
2020-07-02, Order Canceled/Margin/Rejected
2020-07-02, Open, 61.03
2020-07-03, Order Canceled/Margin/Rejected
2020-07-03, Open, 61.43
2020-07-06, Order Canceled/Margin/Rejected
2020-07-06, Open, 61.30
2020-07-07, Order Canceled/Margin/Rejected
2020-07-07, Open, 61.15
2020-07-08, Order Canceled/Margin/Rejected
2020-07-08, Open, 60.56
2020-07-09, Order Canceled/Margin/Rejected
2020-07-09, Open, 60.44
2020-07-10, Order Canceled/Margin/Rejected
2020-07-10, Open, 60.62
2020-07-13, Order Canceled/Margin/Rejected
2020-07-13, Open, 61.90
2020-07-14, Order Canceled/Margin/Rejected
2020-07-14, Open, 61.57
2020-07-15, Order Canceled/Margin/Rejected
2020-07-15, Open, 62.43
2020-07-16, Order Canceled/Margin/Rejected
2020-07-16, Open, 62.35
2020-07-17, Order Canceled/Margin/Rejected
2020-07-17, Open, 62.32
2020-07-20, Order Canceled/Margin/Rejected
2020-07-20, Open, 61.79
2020-07-21, Order Canceled/Margin/Rejected
2020-07-21, Open, 63.89
2020-07-22, Order Canceled/Margin/Rejected
2020-07-22, Open, 63.63
2020-07-23, Order Canceled/Margin/Rejected
2020-07-23, Open, 63.29
2020-07-24, Order Canceled/Margin/Rejected
2020-07-24, Open, 62.54
2020-07-27, Order Canceled/Margin/Rejected
2020-07-27, Open, 62.22
2020-07-28, Order Canceled/Margin/Rejected
2020-07-28, Open, 61.98
2020-07-29, Order Canceled/Margin/Rejected
2020-07-29, Open, 62.67
2020-07-30, Order Canceled/Margin/Rejected
2020-07-30, Open, 62.85
2020-07-31, Order Canceled/Margin/Rejected
2020-07-31, Open, 61.11
2020-08-03, Order Canceled/Margin/Rejected
2020-08-03, Open, 60.02
2020-08-04, Order Canceled/Margin/Rejected
2020-08-04, Open, 61.37
2020-08-05, Order Canceled/Margin/Rejected
2020-08-05, Open, 61.54
2020-08-06, Order Canceled/Margin/Rejected
2020-08-06, Open, 61.55
2020-08-07, Order Canceled/Margin/Rejected
2020-08-07, Open, 61.39
2020-08-10, Order Canceled/Margin/Rejected
2020-08-10, Open, 63.50
2020-08-11, Order Canceled/Margin/Rejected
2020-08-11, Open, 64.12
2020-08-12, Order Canceled/Margin/Rejected
2020-08-12, Open, 63.81
2020-08-13, Order Canceled/Margin/Rejected
2020-08-13, Open, 62.17
2020-08-14, Order Canceled/Margin/Rejected
2020-08-14, Open, 61.59
2020-08-17, Order Canceled/Margin/Rejected
2020-08-17, Open, 60.74
2020-08-18, Order Canceled/Margin/Rejected
2020-08-18, Open, 60.50
2020-08-19, Order Canceled/Margin/Rejected
2020-08-19, Open, 61.84
2020-08-20, Order Canceled/Margin/Rejected
2020-08-20, Open, 61.16
2020-08-21, Order Canceled/Margin/Rejected
2020-08-21, Open, 60.61
2020-08-24, Order Canceled/Margin/Rejected
2020-08-24, Open, 60.02
2020-08-25, Order Canceled/Margin/Rejected
2020-08-25, Open, 61.32
2020-08-26, Order Canceled/Margin/Rejected
2020-08-26, Open, 60.63
2020-08-27, Order Canceled/Margin/Rejected
2020-08-27, Open, 60.12
2020-08-28, Order Canceled/Margin/Rejected
2020-08-28, Open, 60.14
2020-08-31, Order Canceled/Margin/Rejected
2020-08-31, Open, 59.43
2020-09-01, Order Canceled/Margin/Rejected
2020-09-01, Open, 58.14
2020-09-02, Order Canceled/Margin/Rejected
2020-09-02, Open, 58.85
2020-09-03, Order Canceled/Margin/Rejected
2020-09-03, Open, 59.35
2020-09-04, Order Canceled/Margin/Rejected
2020-09-04, Open, 58.08
2020-09-07, Order Canceled/Margin/Rejected
2020-09-07, Open, 58.64
2020-09-08, Order Canceled/Margin/Rejected
2020-09-08, Open, 59.62
2020-09-09, Order Canceled/Margin/Rejected
2020-09-09, Open, 58.14
2020-09-10, Order Canceled/Margin/Rejected
2020-09-10, Open, 58.08
2020-09-11, Order Canceled/Margin/Rejected
2020-09-11, Open, 57.28
2020-09-14, Order Canceled/Margin/Rejected
2020-09-14, Open, 57.60
2020-09-15, Order Canceled/Margin/Rejected
2020-09-15, Open, 56.61
2020-09-16, Order Canceled/Margin/Rejected
2020-09-16, Open, 57.19
2020-09-17, Order Canceled/Margin/Rejected
2020-09-17, Open, 56.58
2020-09-18, Order Canceled/Margin/Rejected
2020-09-18, Open, 56.03
