Share Name: IOO
Starting Portfolio Value: 1000.00
2019-10-15, Open, 67.98
2019-10-16, Open, 68.64
2019-10-17, Open, 68.13
2019-10-18, Open, 67.86
2019-10-21, Open, 67.55
2019-10-22, Open, 67.90
2019-10-23, Open, 67.75
2019-10-24, Open, 68.25
2019-10-25, Open, 68.53
2019-10-28, Open, 69.13
2019-10-29, Open, 68.95
2019-10-30, Open, 68.66
2019-10-31, Open, 68.55
2019-11-01, Open, 68.67
2019-11-04, Open, 69.11
2019-11-05, Open, 69.78
2019-11-06, Open, 69.48
2019-11-07, Open, 69.95
2019-11-08, Open, 69.89
2019-11-11, Open, 70.26
2019-11-12, Open, 70.38
2019-11-13, Open, 70.21
2019-11-14, Open, 70.82
2019-11-15, Open, 71.01
2019-11-18, Open, 71.06
2019-11-19, Open, 71.44
2019-11-20, Open, 70.87
2019-11-21, Open, 70.69
2019-11-22, Open, 70.97
2019-11-25, Open, 71.10
2019-11-26, Open, 71.79
2019-11-27, Open, 72.01
2019-11-28, Open, 72.13
2019-11-29, Open, 71.84
2019-12-02, Open, 71.98
2019-12-03, Open, 70.75
2019-12-04, Open, 70.31
2019-12-05, Open, 70.69
2019-12-06, Open, 70.83
2019-12-09, Open, 71.44
2019-12-10, Open, 71.48
2019-12-11, Open, 71.50
2019-12-12, Open, 71.16
2019-12-13, Open, 71.70
2019-12-16, Open, 72.14
2019-12-17, Open, 72.65
2019-12-18, Open, 73.02
2019-12-19, Open, 72.38
2019-12-20, Open, 72.44
2019-12-23, Open, 72.71
2019-12-24, Open, 72.73
2019-12-27, Open, 72.86
2019-12-30, Open, 72.59
2019-12-31, Open, 71.91
2020-01-02, Open, 72.32
2020-01-03, Open, 72.89
2020-01-06, Open, 72.93
2020-01-07, Open, 73.67
2020-01-08, Open, 73.43
2020-01-09, Open, 74.32
2020-01-10, Open, 74.72
2020-01-13, Open, 74.00
2020-01-14, Open, 74.49
2020-01-15, Open, 74.38
2020-01-16, Open, 74.52
2020-01-17, Open, 75.05
2020-01-20, Open, 75.63
2020-01-21, Open, 75.62
2020-01-22, Open, 76.08
2020-01-23, Open, 75.36
2020-01-24, Open, 75.75
2020-01-28, Open, 75.15
2020-01-29, Open, 75.63
2020-01-30, Open, 75.60
2020-01-31, Open, 77.12
2020-02-03, Open, 76.12
2020-02-04, Open, 76.09
2020-02-05, Open, 76.66
2020-02-06, Open, 77.63
2020-02-07, Open, 77.99
2020-02-10, Open, 77.95
2020-02-11, Open, 78.67
2020-02-12, Open, 78.30
2020-02-13, Open, 78.49
2020-02-14, Open, 78.58
2020-02-17, Open, 78.49
2020-02-18, Open, 78.50
2020-02-19, Open, 78.54
2020-02-20, Open, 79.07
2020-02-21, Open, 78.84
2020-02-24, Open, 77.09
2020-02-25, Open, 75.81
2020-02-26, Open, 74.10
2020-02-27, Open, 72.89
2020-02-28, Open, 70.10
2020-03-02, Open, 71.35
2020-03-03, Open, 73.27
2020-03-04, Open, 72.11
2020-03-05, Open, 73.35
2020-03-06, Open, 71.25
2020-03-09, Open, 67.82
2020-03-10, Open, 68.21
