Share Name: WES
Starting Portfolio Value: 1000.00
2019-10-15, Open, 33.22
2019-10-16, Open, 34.16
2019-10-17, Open, 33.99
2019-10-18, Open, 33.85
2019-10-21, Open, 34.21
2019-10-22, Open, 33.88
2019-10-23, Open, 33.84
2019-10-24, Open, 34.08
2019-10-25, Open, 34.49
2019-10-28, Open, 34.45
2019-10-29, Open, 34.38
2019-10-30, Open, 33.80
2019-10-31, Open, 33.41
2019-11-01, Open, 33.58
2019-11-04, Open, 33.78
2019-11-05, Open, 33.96
2019-11-06, Open, 33.48
2019-11-07, Open, 34.30
2019-11-08, Open, 34.29
2019-11-11, Open, 34.67
2019-11-12, Open, 34.63
2019-11-13, Open, 34.26
2019-11-14, Open, 34.59
2019-11-15, Open, 35.30
2019-11-18, Open, 35.43
2019-11-19, Open, 35.78
2019-11-20, Open, 35.48
2019-11-21, Open, 35.42
2019-11-22, Open, 35.38
2019-11-25, Open, 35.33
2019-11-26, Open, 35.11
2019-11-27, Open, 35.63
2019-11-28, Open, 35.64
2019-11-29, Open, 35.60
2019-12-02, Open, 35.58
2019-12-03, Open, 34.64
2019-12-04, Open, 33.90
2019-12-05, Open, 34.37
2019-12-06, Open, 34.38
2019-12-09, Open, 34.31
2019-12-10, Open, 34.14
2019-12-11, Open, 34.38
2019-12-12, Open, 34.31
2019-12-13, Open, 34.41
2019-12-16, Open, 35.08
2019-12-17, Open, 35.11
2019-12-18, Open, 35.33
2019-12-19, Open, 35.21
2019-12-20, Open, 35.11
2019-12-23, Open, 35.17
2019-12-24, Open, 35.11
2019-12-27, Open, 35.13
2019-12-30, Open, 35.27
2019-12-31, Open, 34.79
2020-01-02, Open, 34.82
2020-01-03, Open, 35.16
2020-01-06, Open, 35.46
2020-01-07, Open, 36.19
2020-01-08, Open, 36.06
2020-01-09, Open, 36.38
2020-01-10, Open, 36.89
2020-01-13, Open, 36.64
2020-01-14, Open, 36.49
2020-01-15, Open, 36.69
2020-01-16, Open, 36.96
2020-01-17, Open, 37.19
2020-01-20, Open, 36.90
2020-01-21, Open, 37.05
2020-01-22, Open, 37.62
2020-01-23, Open, 37.41
2020-01-24, Open, 37.74
2020-01-28, Open, 37.24
2020-01-29, Open, 37.71
2020-01-30, Open, 38.22
2020-01-31, Open, 37.99
2020-02-03, Open, 37.89
2020-02-04, Open, 37.86
2020-02-05, Open, 37.75
2020-02-06, Open, 38.27
2020-02-07, Open, 38.27
2020-02-10, Open, 38.43
2020-02-11, Open, 38.53
2020-02-12, Open, 38.14
2020-02-13, Open, 38.32
2020-02-14, Open, 38.36
2020-02-17, Open, 38.19
2020-02-18, Open, 38.02
2020-02-19, Open, 39.11
2020-02-20, Open, 39.44
2020-02-21, Open, 38.67
2020-02-24, Open, 37.70
2020-02-25, Open, 36.35
2020-02-26, Open, 36.23
2020-02-27, Open, 35.76
2020-02-28, Open, 34.72
2020-03-02, Open, 34.68
2020-03-03, Open, 34.42
2020-03-04, Open, 33.91
2020-03-05, Open, 34.50
2020-03-06, Open, 33.48
2020-03-09, Open, 32.37
2020-03-10, Open, 33.24
2020-03-11, Open, 32.03
2020-03-12, Open, 29.93
2020-03-13, Open, 32.33
2020-03-16, Open, 30.62
2020-03-17, Open, 32.42
2020-03-18, Open, 29.21
2020-03-19, Open, 29.80
2020-03-20, Open, 28.43
2020-03-23, Open, 26.50
2020-03-24, Open, 27.06
2020-03-25, Open, 28.54
2020-03-26, Open, 29.70
2020-03-27, Open, 27.55
2020-03-30, Open, 30.66
2020-03-31, BUY EXECUTED, Size: 32, Price: 31.21, Cost: 998.72, Comm 0.00
2020-03-31, Open, 29.27
2020-04-01, Order Canceled/Margin/Rejected
2020-04-01, Open, 30.48
2020-04-02, Order Canceled/Margin/Rejected
2020-04-02, Open, 30.66
2020-04-03, Order Canceled/Margin/Rejected
2020-04-03, Open, 29.61
2020-04-06, Order Canceled/Margin/Rejected
2020-04-06, Open, 31.34
2020-04-07, Order Canceled/Margin/Rejected
2020-04-07, Open, 30.16
2020-04-08, Order Canceled/Margin/Rejected
2020-04-08, Open, 30.89
2020-04-09, Order Canceled/Margin/Rejected
2020-04-09, Open, 32.03
2020-04-14, Order Canceled/Margin/Rejected
2020-04-14, Open, 32.30
2020-04-15, Order Canceled/Margin/Rejected
2020-04-15, Open, 32.17
2020-04-16, Order Canceled/Margin/Rejected
2020-04-16, Open, 32.05
2020-04-17, Order Canceled/Margin/Rejected
2020-04-17, Open, 32.56
2020-04-20, Order Canceled/Margin/Rejected
2020-04-20, Open, 31.59
2020-04-21, Order Canceled/Margin/Rejected
2020-04-21, Open, 31.07
2020-04-22, Order Canceled/Margin/Rejected
2020-04-22, Open, 31.19
2020-04-23, Order Canceled/Margin/Rejected
2020-04-23, Open, 31.23
2020-04-24, Order Canceled/Margin/Rejected
2020-04-24, Open, 31.31
2020-04-27, Order Canceled/Margin/Rejected
2020-04-27, Open, 32.13
2020-04-28, Order Canceled/Margin/Rejected
2020-04-28, Open, 32.23
2020-04-29, Order Canceled/Margin/Rejected
2020-04-29, Open, 32.02
2020-04-30, Order Canceled/Margin/Rejected
2020-04-30, Open, 32.19
2020-05-01, Order Canceled/Margin/Rejected
2020-05-01, Open, 31.03
2020-05-04, Order Canceled/Margin/Rejected
2020-05-04, Open, 31.42
2020-05-05, Order Canceled/Margin/Rejected
2020-05-05, Open, 31.65
2020-05-06, Order Canceled/Margin/Rejected
2020-05-06, Open, 31.31
2020-05-07, Order Canceled/Margin/Rejected
2020-05-07, Open, 31.09
2020-05-08, Order Canceled/Margin/Rejected
2020-05-08, Open, 31.99
2020-05-11, Order Canceled/Margin/Rejected
2020-05-11, Open, 32.33
2020-05-12, Order Canceled/Margin/Rejected
2020-05-12, Open, 32.24
2020-05-13, Order Canceled/Margin/Rejected
2020-05-13, Open, 32.11
2020-05-14, Order Canceled/Margin/Rejected
2020-05-14, Open, 32.07
2020-05-15, Order Canceled/Margin/Rejected
2020-05-15, Open, 32.37
2020-05-18, Order Canceled/Margin/Rejected
2020-05-18, Open, 32.59
2020-05-19, Order Canceled/Margin/Rejected
2020-05-19, Open, 33.13
2020-05-20, Order Canceled/Margin/Rejected
2020-05-20, Open, 33.24
2020-05-21, Order Canceled/Margin/Rejected
2020-05-21, Open, 33.21
2020-05-22, Order Canceled/Margin/Rejected
2020-05-22, Open, 33.19
2020-05-25, Order Canceled/Margin/Rejected
2020-05-25, Open, 33.74
2020-05-26, Order Canceled/Margin/Rejected
2020-05-26, Open, 34.88
2020-05-27, Order Canceled/Margin/Rejected
2020-05-27, Open, 34.71
2020-05-28, Order Canceled/Margin/Rejected
2020-05-28, Open, 34.81
2020-05-29, Order Canceled/Margin/Rejected
2020-05-29, Open, 34.48
2020-06-01, Order Canceled/Margin/Rejected
2020-06-01, Open, 34.73
2020-06-02, Order Canceled/Margin/Rejected
2020-06-02, Open, 35.11
2020-06-03, Order Canceled/Margin/Rejected
2020-06-03, Open, 35.52
2020-06-04, Order Canceled/Margin/Rejected
2020-06-04, Open, 36.13
2020-06-05, Order Canceled/Margin/Rejected
2020-06-05, Open, 35.63
2020-06-09, Order Canceled/Margin/Rejected
2020-06-09, Open, 35.68
2020-06-10, Order Canceled/Margin/Rejected
2020-06-10, Open, 37.43
2020-06-11, Order Canceled/Margin/Rejected
2020-06-11, Open, 36.36
2020-06-12, Order Canceled/Margin/Rejected
2020-06-12, Open, 36.28
2020-06-15, Order Canceled/Margin/Rejected
2020-06-15, Open, 35.05
2020-06-16, Order Canceled/Margin/Rejected
2020-06-16, Open, 36.29
2020-06-17, Order Canceled/Margin/Rejected
2020-06-17, Open, 36.83
2020-06-18, Order Canceled/Margin/Rejected
2020-06-18, Open, 36.35
2020-06-19, Order Canceled/Margin/Rejected
2020-06-19, Open, 36.85
2020-06-22, Order Canceled/Margin/Rejected
2020-06-22, Open, 37.08
2020-06-23, Order Canceled/Margin/Rejected
2020-06-23, Open, 37.51
2020-06-24, Order Canceled/Margin/Rejected
2020-06-24, Open, 37.49
2020-06-25, Order Canceled/Margin/Rejected
2020-06-25, Open, 37.33
2020-06-26, Order Canceled/Margin/Rejected
2020-06-26, Open, 37.51
2020-06-29, Order Canceled/Margin/Rejected
2020-06-29, Open, 37.46
2020-06-30, Order Canceled/Margin/Rejected
2020-06-30, Open, 38.29
2020-07-01, Order Canceled/Margin/Rejected
2020-07-01, Open, 38.46
2020-07-02, Order Canceled/Margin/Rejected
2020-07-02, Open, 38.75
2020-07-03, Order Canceled/Margin/Rejected
2020-07-03, Open, 39.39
2020-07-06, SELL EXECUTED, Size: -32, Price: 39.40, Cost: 998.72, Comm 0.00
2020-07-06, BUY EXECUTED, Size: 32, Price: 39.40, Cost: 1260.80, Comm 0.00
2020-07-06, OPERATION PROFIT, GROSS 262.08, NET 262.08
2020-07-06, Open, 39.23
2020-07-07, SELL EXECUTED, Size: -32, Price: 39.73, Cost: 1260.80, Comm 0.00
2020-07-07, BUY EXECUTED, Size: 32, Price: 39.73, Cost: 1271.36, Comm 0.00
2020-07-07, OPERATION PROFIT, GROSS 10.56, NET 10.56
2020-07-07, Open, 39.59
2020-07-08, SELL EXECUTED, Size: -32, Price: 39.71, Cost: 1271.36, Comm 0.00
2020-07-08, BUY EXECUTED, Size: 32, Price: 39.71, Cost: 1270.72, Comm 0.00
2020-07-08, OPERATION PROFIT, GROSS -0.64, NET -0.64
2020-07-08, Open, 38.85
2020-07-09, Order Canceled/Margin/Rejected
2020-07-09, Open, 38.99
2020-07-10, SELL EXECUTED, Size: -32, Price: 38.87, Cost: 1270.72, Comm 0.00
2020-07-10, BUY EXECUTED, Size: 32, Price: 38.87, Cost: 1243.84, Comm 0.00
2020-07-10, OPERATION PROFIT, GROSS -26.88, NET -26.88
2020-07-10, Open, 38.86
2020-07-13, Order Canceled/Margin/Rejected
2020-07-13, Open, 39.34
2020-07-14, SELL EXECUTED, Size: -32, Price: 39.07, Cost: 1243.84, Comm 0.00
2020-07-14, BUY EXECUTED, Size: 32, Price: 39.07, Cost: 1250.24, Comm 0.00
2020-07-14, OPERATION PROFIT, GROSS 6.40, NET 6.40
2020-07-14, Open, 39.28
2020-07-15, SELL EXECUTED, Size: -32, Price: 39.59, Cost: 1250.24, Comm 0.00
2020-07-15, BUY EXECUTED, Size: 32, Price: 39.59, Cost: 1266.88, Comm 0.00
2020-07-15, OPERATION PROFIT, GROSS 16.64, NET 16.64
2020-07-15, Open, 40.03
2020-07-16, SELL EXECUTED, Size: -32, Price: 40.23, Cost: 1266.88, Comm 0.00
2020-07-16, BUY EXECUTED, Size: 32, Price: 40.23, Cost: 1287.36, Comm 0.00
2020-07-16, OPERATION PROFIT, GROSS 20.48, NET 20.48
2020-07-16, Open, 39.81
2020-07-17, SELL EXECUTED, Size: -32, Price: 40.15, Cost: 1287.36, Comm 0.00
2020-07-17, BUY EXECUTED, Size: 32, Price: 40.15, Cost: 1284.80, Comm 0.00
2020-07-17, OPERATION PROFIT, GROSS -2.56, NET -2.56
2020-07-17, Open, 39.75
2020-07-20, SELL EXECUTED, Size: -32, Price: 39.51, Cost: 1284.80, Comm 0.00
2020-07-20, BUY EXECUTED, Size: 32, Price: 39.51, Cost: 1264.32, Comm 0.00
2020-07-20, OPERATION PROFIT, GROSS -20.48, NET -20.48
2020-07-20, Open, 39.46
2020-07-21, SELL EXECUTED, Size: -32, Price: 39.55, Cost: 1264.32, Comm 0.00
2020-07-21, BUY EXECUTED, Size: 32, Price: 39.55, Cost: 1265.60, Comm 0.00
2020-07-21, OPERATION PROFIT, GROSS 1.28, NET 1.28
2020-07-21, Open, 40.06
2020-07-22, SELL EXECUTED, Size: -32, Price: 40.16, Cost: 1265.60, Comm 0.00
2020-07-22, BUY EXECUTED, Size: 32, Price: 40.16, Cost: 1285.12, Comm 0.00
2020-07-22, OPERATION PROFIT, GROSS 19.52, NET 19.52
2020-07-22, Open, 39.38
2020-07-23, SELL EXECUTED, Size: -32, Price: 39.25, Cost: 1285.12, Comm 0.00
2020-07-23, BUY EXECUTED, Size: 32, Price: 39.25, Cost: 1256.00, Comm 0.00
2020-07-23, OPERATION PROFIT, GROSS -29.12, NET -29.12
2020-07-23, Open, 39.76
2020-07-24, SELL EXECUTED, Size: -32, Price: 39.42, Cost: 1256.00, Comm 0.00
2020-07-24, BUY EXECUTED, Size: 32, Price: 39.42, Cost: 1261.44, Comm 0.00
2020-07-24, OPERATION PROFIT, GROSS 5.44, NET 5.44
2020-07-24, Open, 39.60
2020-07-27, SELL EXECUTED, Size: -32, Price: 39.74, Cost: 1261.44, Comm 0.00
2020-07-27, BUY EXECUTED, Size: 32, Price: 39.74, Cost: 1271.68, Comm 0.00
2020-07-27, OPERATION PROFIT, GROSS 10.24, NET 10.24
2020-07-27, Open, 40.03
2020-07-28, SELL EXECUTED, Size: -32, Price: 40.04, Cost: 1271.68, Comm 0.00
2020-07-28, BUY EXECUTED, Size: 32, Price: 40.04, Cost: 1281.28, Comm 0.00
2020-07-28, OPERATION PROFIT, GROSS 9.60, NET 9.60
2020-07-28, Open, 39.79
2020-07-29, SELL EXECUTED, Size: -32, Price: 39.71, Cost: 1281.28, Comm 0.00
2020-07-29, BUY EXECUTED, Size: 32, Price: 39.71, Cost: 1270.72, Comm 0.00
2020-07-29, OPERATION PROFIT, GROSS -10.56, NET -10.56
2020-07-29, Open, 39.80
2020-07-30, SELL EXECUTED, Size: -32, Price: 39.78, Cost: 1270.72, Comm 0.00
2020-07-30, BUY EXECUTED, Size: 32, Price: 39.78, Cost: 1272.96, Comm 0.00
2020-07-30, OPERATION PROFIT, GROSS 2.24, NET 2.24
2020-07-30, Open, 40.25
2020-07-31, SELL EXECUTED, Size: -32, Price: 39.85, Cost: 1272.96, Comm 0.00
2020-07-31, BUY EXECUTED, Size: 32, Price: 39.85, Cost: 1275.20, Comm 0.00
2020-07-31, OPERATION PROFIT, GROSS 2.24, NET 2.24
2020-07-31, Open, 39.76
2020-08-03, SELL EXECUTED, Size: -32, Price: 39.20, Cost: 1275.20, Comm 0.00
2020-08-03, BUY EXECUTED, Size: 32, Price: 39.20, Cost: 1254.40, Comm 0.00
2020-08-03, OPERATION PROFIT, GROSS -20.80, NET -20.80
2020-08-03, Open, 39.21
2020-08-04, SELL EXECUTED, Size: -32, Price: 39.80, Cost: 1254.40, Comm 0.00
2020-08-04, BUY EXECUTED, Size: 32, Price: 39.80, Cost: 1273.60, Comm 0.00
2020-08-04, OPERATION PROFIT, GROSS 19.20, NET 19.20
2020-08-04, Open, 39.54
2020-08-05, SELL EXECUTED, Size: -32, Price: 39.28, Cost: 1273.60, Comm 0.00
2020-08-05, BUY EXECUTED, Size: 32, Price: 39.28, Cost: 1256.96, Comm 0.00
2020-08-05, OPERATION PROFIT, GROSS -16.64, NET -16.64
2020-08-05, Open, 39.63
2020-08-06, SELL EXECUTED, Size: -32, Price: 39.38, Cost: 1256.96, Comm 0.00
2020-08-06, BUY EXECUTED, Size: 32, Price: 39.38, Cost: 1260.16, Comm 0.00
2020-08-06, OPERATION PROFIT, GROSS 3.20, NET 3.20
2020-08-06, Open, 39.44
2020-08-07, SELL EXECUTED, Size: -32, Price: 39.08, Cost: 1260.16, Comm 0.00
2020-08-07, BUY EXECUTED, Size: 32, Price: 39.08, Cost: 1250.56, Comm 0.00
2020-08-07, OPERATION PROFIT, GROSS -9.60, NET -9.60
2020-08-07, Open, 39.33
2020-08-10, SELL EXECUTED, Size: -32, Price: 39.72, Cost: 1250.56, Comm 0.00
2020-08-10, BUY EXECUTED, Size: 32, Price: 39.72, Cost: 1271.04, Comm 0.00
2020-08-10, OPERATION PROFIT, GROSS 20.48, NET 20.48
2020-08-10, Open, 40.16
2020-08-11, SELL EXECUTED, Size: -32, Price: 40.12, Cost: 1271.04, Comm 0.00
2020-08-11, BUY EXECUTED, Size: 32, Price: 40.12, Cost: 1283.84, Comm 0.00
2020-08-11, OPERATION PROFIT, GROSS 12.80, NET 12.80
2020-08-11, Open, 40.13
2020-08-12, SELL EXECUTED, Size: -32, Price: 40.45, Cost: 1283.84, Comm 0.00
2020-08-12, BUY EXECUTED, Size: 32, Price: 40.45, Cost: 1294.40, Comm 0.00
2020-08-12, OPERATION PROFIT, GROSS 10.56, NET 10.56
2020-08-12, Open, 40.47
2020-08-13, SELL EXECUTED, Size: -32, Price: 40.85, Cost: 1294.40, Comm 0.00
2020-08-13, BUY EXECUTED, Size: 32, Price: 40.85, Cost: 1307.20, Comm 0.00
2020-08-13, OPERATION PROFIT, GROSS 12.80, NET 12.80
2020-08-13, Open, 40.36
2020-08-14, SELL EXECUTED, Size: -32, Price: 40.20, Cost: 1307.20, Comm 0.00
2020-08-14, BUY EXECUTED, Size: 32, Price: 40.20, Cost: 1286.40, Comm 0.00
2020-08-14, OPERATION PROFIT, GROSS -20.80, NET -20.80
2020-08-14, Open, 40.67
2020-08-17, SELL EXECUTED, Size: -32, Price: 40.41, Cost: 1286.40, Comm 0.00
2020-08-17, BUY EXECUTED, Size: 32, Price: 40.41, Cost: 1293.12, Comm 0.00
2020-08-17, OPERATION PROFIT, GROSS 6.72, NET 6.72
2020-08-17, Open, 40.56
2020-08-18, SELL EXECUTED, Size: -32, Price: 40.91, Cost: 1293.12, Comm 0.00
2020-08-18, BUY EXECUTED, Size: 32, Price: 40.91, Cost: 1309.12, Comm 0.00
2020-08-18, OPERATION PROFIT, GROSS 16.00, NET 16.00
2020-08-18, Open, 41.09
2020-08-19, SELL EXECUTED, Size: -32, Price: 40.59, Cost: 1309.12, Comm 0.00
2020-08-19, BUY EXECUTED, Size: 32, Price: 40.59, Cost: 1298.88, Comm 0.00
2020-08-19, OPERATION PROFIT, GROSS -10.24, NET -10.24
2020-08-19, Open, 41.75
2020-08-20, SELL EXECUTED, Size: -32, Price: 41.98, Cost: 1298.88, Comm 0.00
2020-08-20, BUY EXECUTED, Size: 32, Price: 41.98, Cost: 1343.36, Comm 0.00
2020-08-20, OPERATION PROFIT, GROSS 44.48, NET 44.48
2020-08-20, Open, 41.67
2020-08-21, SELL EXECUTED, Size: -32, Price: 42.28, Cost: 1343.36, Comm 0.00
2020-08-21, BUY EXECUTED, Size: 32, Price: 42.28, Cost: 1352.96, Comm 0.00
2020-08-21, OPERATION PROFIT, GROSS 9.60, NET 9.60
2020-08-21, Open, 41.62
2020-08-24, SELL EXECUTED, Size: -32, Price: 41.85, Cost: 1352.96, Comm 0.00
2020-08-24, BUY EXECUTED, Size: 32, Price: 41.85, Cost: 1339.20, Comm 0.00
2020-08-24, OPERATION PROFIT, GROSS -13.76, NET -13.76
2020-08-24, Open, 42.23
2020-08-25, SELL EXECUTED, Size: -32, Price: 42.08, Cost: 1339.20, Comm 0.00
2020-08-25, BUY EXECUTED, Size: 32, Price: 42.08, Cost: 1346.56, Comm 0.00
2020-08-25, OPERATION PROFIT, GROSS 7.36, NET 7.36
2020-08-25, Open, 41.67
2020-08-26, SELL EXECUTED, Size: -32, Price: 41.60, Cost: 1346.56, Comm 0.00
2020-08-26, BUY EXECUTED, Size: 32, Price: 41.60, Cost: 1331.20, Comm 0.00
2020-08-26, OPERATION PROFIT, GROSS -15.36, NET -15.36
2020-08-26, Open, 41.78
2020-08-27, SELL EXECUTED, Size: -32, Price: 41.51, Cost: 1331.20, Comm 0.00
2020-08-27, BUY EXECUTED, Size: 32, Price: 41.51, Cost: 1328.32, Comm 0.00
2020-08-27, OPERATION PROFIT, GROSS -2.88, NET -2.88
2020-08-27, Open, 42.30
2020-08-28, SELL EXECUTED, Size: -32, Price: 41.86, Cost: 1328.32, Comm 0.00
2020-08-28, BUY EXECUTED, Size: 32, Price: 41.86, Cost: 1339.52, Comm 0.00
2020-08-28, OPERATION PROFIT, GROSS 11.20, NET 11.20
2020-08-28, Open, 41.37
2020-08-31, SELL EXECUTED, Size: -32, Price: 41.17, Cost: 1339.52, Comm 0.00
2020-08-31, BUY EXECUTED, Size: 32, Price: 41.17, Cost: 1317.44, Comm 0.00
2020-08-31, OPERATION PROFIT, GROSS -22.08, NET -22.08
2020-08-31, Open, 40.74
2020-09-01, SELL EXECUTED, Size: -32, Price: 40.22, Cost: 1317.44, Comm 0.00
2020-09-01, BUY EXECUTED, Size: 32, Price: 40.22, Cost: 1287.04, Comm 0.00
2020-09-01, OPERATION PROFIT, GROSS -30.40, NET -30.40
2020-09-01, Open, 40.37
2020-09-02, SELL EXECUTED, Size: -32, Price: 40.85, Cost: 1287.04, Comm 0.00
2020-09-02, BUY EXECUTED, Size: 32, Price: 40.85, Cost: 1307.20, Comm 0.00
2020-09-02, OPERATION PROFIT, GROSS 20.16, NET 20.16
2020-09-02, Open, 41.30
2020-09-03, SELL EXECUTED, Size: -32, Price: 41.86, Cost: 1307.20, Comm 0.00
2020-09-03, BUY EXECUTED, Size: 32, Price: 41.86, Cost: 1339.52, Comm 0.00
2020-09-03, OPERATION PROFIT, GROSS 32.32, NET 32.32
2020-09-03, Open, 41.62
2020-09-04, SELL EXECUTED, Size: -32, Price: 40.87, Cost: 1339.52, Comm 0.00
2020-09-04, BUY EXECUTED, Size: 32, Price: 40.87, Cost: 1307.84, Comm 0.00
2020-09-04, OPERATION PROFIT, GROSS -31.68, NET -31.68
2020-09-04, Open, 40.07
2020-09-07, SELL EXECUTED, Size: -32, Price: 39.56, Cost: 1307.84, Comm 0.00
2020-09-07, BUY EXECUTED, Size: 32, Price: 39.56, Cost: 1265.92, Comm 0.00
2020-09-07, OPERATION PROFIT, GROSS -41.92, NET -41.92
2020-09-07, Open, 39.44
2020-09-08, SELL EXECUTED, Size: -32, Price: 40.07, Cost: 1265.92, Comm 0.00
2020-09-08, BUY EXECUTED, Size: 32, Price: 40.07, Cost: 1282.24, Comm 0.00
2020-09-08, OPERATION PROFIT, GROSS 16.32, NET 16.32
2020-09-08, Open, 39.61
2020-09-09, SELL EXECUTED, Size: -32, Price: 38.79, Cost: 1282.24, Comm 0.00
2020-09-09, BUY EXECUTED, Size: 32, Price: 38.79, Cost: 1241.28, Comm 0.00
2020-09-09, OPERATION PROFIT, GROSS -40.96, NET -40.96
2020-09-09, Open, 38.65
2020-09-10, Order Canceled/Margin/Rejected
2020-09-10, Open, 38.82
2020-09-11, Order Canceled/Margin/Rejected
2020-09-11, Open, 38.58
2020-09-14, Order Canceled/Margin/Rejected
2020-09-14, Open, 38.51
2020-09-15, Order Canceled/Margin/Rejected
2020-09-15, Open, 38.59
2020-09-16, Order Canceled/Margin/Rejected
2020-09-16, Open, 38.91
2020-09-17, Order Canceled/Margin/Rejected
2020-09-17, Open, 38.39
2020-09-18, Order Canceled/Margin/Rejected
2020-09-18, Open, 37.79
2020-09-21, Order Canceled/Margin/Rejected
2020-09-21, Open, 37.49
2020-09-22, Order Canceled/Margin/Rejected
2020-09-22, Open, 38.05
2020-09-23, Order Canceled/Margin/Rejected
2020-09-23, Open, 39.16
2020-09-24, SELL EXECUTED, Size: -32, Price: 38.39, Cost: 1241.28, Comm 0.00
2020-09-24, BUY EXECUTED, Size: 32, Price: 38.39, Cost: 1228.48, Comm 0.00
2020-09-24, OPERATION PROFIT, GROSS -12.80, NET -12.80
2020-09-24, Open, 39.10
2020-09-25, SELL EXECUTED, Size: -32, Price: 38.79, Cost: 1228.48, Comm 0.00
2020-09-25, BUY EXECUTED, Size: 32, Price: 38.79, Cost: 1241.28, Comm 0.00
2020-09-25, OPERATION PROFIT, GROSS 12.80, NET 12.80
2020-09-25, Open, 39.22
2020-09-28, SELL EXECUTED, Size: -32, Price: 39.22, Cost: 1241.28, Comm 0.00
2020-09-28, BUY EXECUTED, Size: 32, Price: 39.22, Cost: 1255.04, Comm 0.00
2020-09-28, OPERATION PROFIT, GROSS 13.76, NET 13.76
2020-09-28, Open, 39.03
2020-09-29, SELL EXECUTED, Size: -32, Price: 39.29, Cost: 1255.04, Comm 0.00
2020-09-29, BUY EXECUTED, Size: 32, Price: 39.29, Cost: 1257.28, Comm 0.00
2020-09-29, OPERATION PROFIT, GROSS 2.24, NET 2.24
2020-09-29, Open, 39.14
2020-09-30, SELL EXECUTED, Size: -32, Price: 38.59, Cost: 1257.28, Comm 0.00
2020-09-30, BUY EXECUTED, Size: 32, Price: 38.59, Cost: 1234.88, Comm 0.00
2020-09-30, OPERATION PROFIT, GROSS -22.40, NET -22.40
2020-09-30, Open, 38.08
